"id_loc","street","neigh","city","state","gaddress","glat","glng","gbnelat","gbnelng","gbswlat","gbswlng","visited"
6128,,"ABOLICAO","RIO DE JANEIRO","RJ","Abolição, Rio de Janeiro, Brazil",-22.8801,-43.2949,-22.8926,-43.3039,-22.888,-43.2993,"2013-08-17 14:53:41"
6129,,"AGUA SANTA","RIO DE JANEIRO","RJ","Água Santa, Rio de Janeiro, Brazil",-22.9029,-43.3032,-22.9292,-43.3286,-22.9162,-43.3126,"2013-08-17 14:53:42"
6130,,"ALTO DA BOA VISTA","RIO DE JANEIRO","RJ","Alto da Boa Vista, Rio de Janeiro, Brazil",-22.9401,-43.2042,-22.9882,-43.3019,-22.963,-43.262,"2013-08-17 14:53:43"
6131,,"ANCHIETA","RIO DE JANEIRO","RJ","Anchieta, Rio de Janeiro, Brazil",-22.8148,-43.3849,-22.8311,-43.4073,-22.8211,-43.3958,"2013-08-17 14:55:27"
6132,,"ANDARAI","RIO DE JANEIRO","RJ","Andaraí, Rio de Janeiro, Brazil",-22.9149,-43.2299,-22.9393,-43.2687,-22.9226,-43.2497,"2013-08-17 14:55:28"
6133,,"ANIL","RIO DE JANEIRO","RJ","Anil, Rio de Janeiro, Brazil",-22.9431,-43.3268,-22.9585,-43.3498,-22.9544,-43.34,"2013-08-17 14:55:29"
6134,,"ARPOADOR","RIO DE JANEIRO","RJ","Arpoador, Rio de Janeiro, Brazil",-22.9834,-43.1891,-22.9904,-43.198,-22.9859,-43.1929,"2013-08-17 14:55:30"
6135,,"BANCARIOS","RIO DE JANEIRO","RJ","Bancários, Rio de Janeiro, Brazil",-22.7848,-43.1687,-22.8024,-43.1891,-22.7983,-43.1759,"2013-08-17 14:55:30"
6136,,"BANGU","RIO DE JANEIRO","RJ","Bangu, Rio de Janeiro, Brazil",-22.814,-43.4493,-22.9147,-43.5271,-22.8833,-43.4667,"2013-08-17 14:55:31"
6137,,"BARRA DA TIJUCA","RIO DE JANEIRO","RJ","Barra da Tijuca, Rio de Janeiro, Brazil",-22.9724,-43.2757,-23.0233,-43.4511,-23,-43.3658,"2013-08-17 14:55:32"
6138,,"BENFICA","RIO DE JANEIRO","RJ","Benfica, Rio de Janeiro, Brazil",-22.8869,-43.2309,-22.9002,-43.2506,-22.8925,-43.24,"2013-08-17 14:55:33"
6139,,"BENTO RIBEIRO","RIO DE JANEIRO","RJ","Bento Ribeiro, Rio de Janeiro, Brazil",-22.8555,-43.3517,-22.8794,-43.3702,-22.8672,-43.3608,"2013-08-17 14:55:33"
6140,,"BOIUNA","RIO DE JANEIRO","RJ","Estrada Boiúna, Rio de Janeiro, Brazil",-22.9068,-43.3941,-22.9155,-43.4161,-22.9115,-43.4056,"2013-08-17 14:55:34"
6141,,"BONSUCESSO","RIO DE JANEIRO","RJ","Bonsucesso, Rio de Janeiro, Brazil",-22.8549,-43.2375,-22.877,-43.2722,-22.8631,-43.2531,"2013-08-17 14:55:35"
6142,,"BOTAFOGO","RIO DE JANEIRO","RJ","Botafogo, Rio de Janeiro, Brazil",-22.9387,-43.1755,-22.9634,-43.2017,-22.9533,-43.19,"2013-08-17 14:55:36"
6143,,"BRAS DE PINA","RIO DE JANEIRO","RJ","Brás de Pina, Rio de Janeiro, Brazil",-22.8188,-43.2797,-22.8402,-43.3191,-22.8332,-43.2993,"2013-08-17 14:55:37"
6144,,"CACHAMBI","RIO DE JANEIRO","RJ","Cachambi, Rio de Janeiro, Brazil",-22.8821,-43.2633,-22.8994,-43.2865,-22.8833,-43.2833,"2013-08-17 14:55:37"
