neigh,price_m2,glat,glng
ABOLICAO,4.59094578417,-22.8810594857,-43.2961617857
AGUA SANTA,3.97384559885,-22.9029461,-43.2994591
ALTO DA BOA VISTA,6.63419880147,-22.9463113,-43.2544813
ANCHIETA,2.2,-22.8261413,-43.4133174
ANDARAI,4.91197037858,-22.9220713643,-43.2425803643
ANIL,4.66954944634,-22.9482255667,-43.3388166333
ARPOADOR,20.3387605042,-22.98457195,-43.19085725
BANCARIOS,4.60526315789,-22.7847849,-43.1687301
BANGU,3.94320512821,-22.861470725,-43.456496075
BARRA DA TIJUCA,9.55915459735,-22.9878699976,-43.3427544702
BARRA DE GUARATIBA,8.06315789474,-23.0079909,-43.5232756
BENFICA,3.84014622798,-22.892502175,-43.235565775
BENTO RIBEIRO,2.44444444444,-22.8655598,-43.3558004
BONSUCESSO,3.38876094492,-22.85806842,-43.2502659333
BOTAFOGO,11.656563758,-22.9476472728,-43.1831837524
CACHAMBI,5.07081804281,-22.8866900958,-43.2699647408
CACUIA,4.83333333333,-22.81071,-43.1754504
CAMORIM,5.12056405305,-22.969548837,-43.4143061333
CAMPINHO,4.19038053848,-22.8840186167,-43.3420293167
CAMPO GRANDE,3.2127961882,-22.885163891,-43.538082618
CASCADURA,3.20098765432,-22.87648884,-43.31794568
CATETE,10.3542150975,-22.9249132837,-43.1774889857
CENTRO,7.96116242018,-22.9077531591,-43.1818525652
CID NOVA,5.01098901099,-22.9079654,-43.1976433
COCOTA,6.0,-22.79945,-43.1753703
COELHO NETO,2.58290816327,-22.82630715,-43.3462666
COLEGIO,3.56153846154,-22.8354129667,-43.3288982
COPACABANA,12.478003902,-22.9678113366,-43.1810368393
CORDOVIL,1.63636363636,-22.8176908,-43.2929012
COSME VELHO,10.3703703704,-22.9401455,-43.1970312333
CURICICA,5.19081193607,-22.9488646526,-43.3751302342
DEL CASTILHO,5.60115299416,-22.8763322179,-43.2672881536
ENCANTADO,2.45689655172,-22.88985,-43.3009415
ENGENHO DA RAINHA,3.34047619048,-22.8575839,-43.2907113
ENGENHO DE DENTRO,4.52504081981,-22.8941122806,-43.2923660935
